"acctName","fName","lName","password","salt"
"RQuez","Ricardo","Quezada","0LXJXFwsw5kNRoHHO3FN3g==","zCogFWmx/tTEqU5q+QTT6A==","0"
"AGlad","Admington","Gladmington","UDG/xOYIqBIg8vUoywLX+g==","i4tusLKRAP0eXEH4qzAX+w==","0"
"RQuez","Ricardo","Quezada","reM+eRFvQQvgAI+34B/0ZA==","uRoFUeRIriG8RDnGlweULw==","0"
"RQuez","Ricardo","Quezada","YtkwZhjjpeUK1g27Vp6NFg==","WZtA7zrTk7xJ9nRE2W8LHw==","0"
"RQuez","Ricardo","Quezada","l3M96hOIT4SEY93EVq0OGg==","NVosaDQWIKYbHQolqwfxVA==","0"
"aaweg","aweg","awegaewg","2YidW8kHMO59RwVFbbcnzA==","hPddpP2a9EmPyPEk6vyicw==","0"
"RQuez","Ricardo","Quezada","xmii4b+XbWxnBDMgOP4FYA==","pOFlWBRY9rmwOTPT5ux66w==","0"
"RQuez","Ricardo","Quezada","d51QI5Wg9jM2HD35MP2giQ==","HeFNZdmVNkexK0+tPv1SxA==","0"
"RQuez","Ricardo","Quezada","uz0gcX77vCsNDlM1XYttDg==","wmRRO2lYhDZJRkgzPCBCEA==","0"
"RQuez","Ricardo","Quezada","enQobVk8F8IHjB+lB5Lvtg==","O0TaAnk98f0OAUBHA3o4SA==","0"
"RQuez","Ricardo","Quezada","n3AOHixq5UeXMw+gZv5q0Q==","ch5MN1jT+M3gtM/4tAFpEQ==","0"
"RQuez","Ricardo","Quezada","J8++rm5dU47PM3rcVe0v+A==","iNwNDuz68yztDeVjU0I6lA==","0"
"RQuez","Ricardo","Quezada","Y4yUOuezP6EUeavrxALrJw==","q2tLY6sn7OUJBAiyRlSeWQ==","0"
"RQuez","Ricardo","Quezada","pvB4YfAECXKiLFwye6FBIw==","oMxbBlzizXpgI2iyPiNHkg==","0"
"RQuez","Ricardo","Quezada","ZErTxIdoRFg/QVEa5LRheA==","hgscFf2xjh9W3EsQkYELAA==","0"
"RQuez","Ricardo","Quezada","6WveSDGvorJLCapGDTM6bQ==","GEOmqWbOXgI+NfjYchw3lw==","0"
"RQuez","Ricardo","Quezada","3z5FfigZXwKaIHpvA64jZQ==","GYNxJvJF0g1UsMcjR46tsg==","0"
"RQuez","Ricardo","Quezada","eyDXMNQQaN9hYM3ALSgT5g==","1khpkWhlldo6dB02SgwJmQ==","0"
"RQuez","Ricardo","Quezada","FjyXF+L/fzhhOUI2Sez2Yw==","fH/CKZDEiuyFdcw5iK2LLQ==","0"
"RQuez","Ricardo","Quezada","4u85VtsjoxYYuprwkHMcsA==","8gECasidxG+gR5QWxvGZZA==","0"
